Алмаз diamond  
Уголь coal  
Древесный_уголь wcoal  
Красная_пыль redstone  
Железная_руда ironore  
Золотая_руда goldore  
Слиток_железа iron  
Слиток_золота gold  
Железный_куб ironcube  
Золотой_куб goldcube  
Булыжник cobblestone  
Мшистый_булыжник mossycobblestone  
Камень stone  
Каменный_кирпич stonebrick  
Мшистый_каменный кирпич mossystonebrick  
Треснувший_каменный_кирпич crackedstonebrick  
Резной_каменный_кирпич dividedstonebrick
Гравий gravel 
Песок sand  
Песчаный_камень sandstone 
Декоративный_песчаник decorativesandstone  
Декоративный_гладкий_песчаник decorativesmoothstone  
Песчаный_кирпич sandbrick  
Стекло glass  
Известняк limetone  
Гашеная_известь slackedlime  
Шарик_глины clayball  
Глиняный_блок clayblock  
Кирпич brick  
Кирпичный_блок brickblock  
Узорный_кирпич patternedbrick   
Обсидиан obsidian  
Снегоблок snowblock  
Лёд ice   
Декоративный_лёд decorativeice  
Бревно wood  
Березовое_бревно birch
Еловое_бревно spruce    
Бревно_яблони appletree  
Бревно_дерева_джунглей jungletree  
Бревно_баобаба baobab  
Бревно_пальмы palmtree  
Блок_банановой_травы bananagrass  
Бревно_сакуры sakura  
Вишнёвая_палочка cherrystick  
Листья leaf  
Березовая_листва birchleaf  
Еловая_листва spruceleaf  
Листва_яблони appleleaf  
Листва_джунглей jungleleaf  
Листва_баобаба baobableaf  
Листва_пальмы palmtreeleaf  
Листва_пальмы_(верхняя) upperpalmtreeleaf
Банановая_листва bananaleaf  
Банановая_листва_(верхняя) upperbananaleaf   
Цветы_сакуры sakuraflower  
Густые_цветы_сакуры compactsakuraflowers  
Кожа skin  
Перо feather  
Кость bone  
Костяной_порошок_(белая_краска) whitedye  
Чернила_(черная_краска) blackdye  
Красная_краска reddye  
Желтая_краска yellowdye  
Оранжевая_краска orangedye  
Розовая_краска pinkdye  
Пурпурная_краска purpledye  
Сиреневая_краска lilacdye  
Салатовая_краска limedye  
Зеленая_краска greendye  
Голубая_краска bluedye  
Лазурит_(синяя_краска) lapis
Лазуритовый_блок lapisblock  
Бирюзовая_краска tarquoisedye  
Какао-порошок_(коричневая краска) browndye  
Серая_краска graydye  
Светло-серая_краска lightgraydye  
Белый_камень whitestone  
Черный_камень blockstone  
Красный_камень redstone
Желтый_камень yellowstone
Оранжевый_камень orangestone  
Розовый_камень pinkstone  
Пурпурный_камень purplestone  
Сиреневый_камень lilacstone  
Салатовый_камень limestone  
Зеленый_камень greenstone  
Голубой_камень bluestone  
Синий_камень darkbluestone  
Бирюзовый_камень tarquoisestone  
Коричневый_камень brownstone  
Серый_камень graystone  
Светло-серый_камень lightgraystone  
Белый_каменный_кирпич whilestonebrick  
Мшистый_белый_каменный_кирпич mossywhitestonebrick  
Треснувший_белый_каменный_кирпич crackedwhitestonebrick  
Черный_кирпич blackbrick  
Красный_кирпич redbrick  
Желтый_кирпич yellowbrick  
Оранжевый_кирпич orangebrick  
Розовый_кирпич pinkbrick  
Пурпурный_кирпич purplebrick  
Сиреневый_кирпич lilacbrick  
Салатовый_кирпич limebrick  
Зеленый_кирпич greenbrick  
Голубой_кирпич bluebrick  
Синий_кирпич darkbluebrick  
Бирюзовый_кирпич tarquoisebrick
Коричневый_кирпич brownbrick  
Серый_кирпич graybrick  
Светло-серый_кирпич lightgraybrick  
Шерсть wool  
Черная_шерсть blackwool
Красная_шерсть redwool   
Желтая_шерсть yellowwool   
Оранжевая_шерсть orangewool   
Розовая_шерсть pinkwool  
Пурпурная_шерсть purplewool  
Cиреневая_шерсть lilacwool  
Салатовая_шерсть limewool  
Зеленая_шерсть greenwool  
Голубая_шерсть bluewool  
Синяя_шерсть darkbluewool  
Бирюзовая_шерсть tarquoisewool  
Коричневая_шерсть brownwool  
Серая_шерсть graywool  
Светло-серая_шерсть lightgraywool  
Сырая_говядина rawbeef  
